Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
132, 2.20000, 2.2423, 2.56959, 50.9048, -13.7471, 53.4166, 167.408, 0.0195109, -16.5736, 1.09162, 106.496, 1.1105, -73.3291
132, 2.20833, 2.25398, 2.25162, 51.1204, -13.7392, 53.6504, 167.424, 0.0196097, -16.4322, 1.0931, 106.415, 1.11211, -73.4082
133, 2.21667, 2.26568, 1.93284, 51.3368, -13.7322, 53.8854, 167.439, 0.0197098, -16.2923, 1.0946, 106.334, 1.11374, -73.4877
134, 2.22500, 2.2774, 1.61331, 51.5542, -13.726, 54.1215, 167.454, 0.0198112, -16.154, 1.09611, 106.252, 1.11538, -73.5676
134, 2.23333, 2.28914, 1.29301, 51.7725, -13.7207, 54.3589, 167.468, 0.019914, -16.0174, 1.09762, 106.17, 1.11703, -73.6477
135, 2.24167, 2.30089, 0.971885, 51.9917, -13.7163, 54.5974, 167.481, 0.0200181, -15.8825, 1.09914, 106.088, 1.11869, -73.7282
135, 2.25000, 2.31266, 0.65002, 52.2118, -13.7127, 54.8371, 167.493, 0.0201236, -15.7493, 1.10067, 106.005, 1.12037, -73.809
135, 2.25833, 2.32445, 0.327378, 52.4328, -13.71, 55.0781, 167.504, 0.0202304, -15.6179, 1.10221, 105.922, 1.12205, -73.8902
136, 2.26667, 2.33625, 0.00392263, 52.6548, -13.7082, 55.3203, 167.515, 0.0203387, -15.4884, 1.10376, 105.839, 1.12374, -73.9716
137, 2.27500, 2.34806, -0.320265, 52.8776, -13.7072, 55.5637, 167.525, 0.0204483, -15.3608, 1.10532, 105.756, 1.12545, -74.0535
137, 2.28333, 2.35988, -0.645219, 53.1015, -13.707, 55.8083, 167.533, 0.0205593, -15.2352, 1.10689, 105.672, 1.12716, -74.1357
138, 2.29167, 2.37171, -0.970973, 53.3262, -13.7078, 56.0542, 167.542, 0.0206717, -15.1115, 1.10846, 105.588, 1.12889, -74.2182
138, 2.30000, 2.38354, -1.29744, 53.5519, -13.7093, 56.3014, 167.549, 0.0207856, -14.99, 1.11005, 105.503, 1.13063, -74.3011
138, 2.30833, 2.39538, -1.62466, 53.7785, -13.7117, 56.5498, 167.555, 0.0209008, -14.8706, 1.11164, 105.418, 1.13238, -74.3843
139, 2.31667, 2.40723, -1.95266, 54.0061, -13.715, 56.7996, 167.561, 0.0210175, -14.7534, 1.11325, 105.333, 1.13415, -74.468
140, 2.32500, 2.41907, -2.28134, 54.2346, -13.7191, 57.0506, 167.565, 0.0211356, -14.6384, 1.11486, 105.247, 1.13592, -74.5519
