,harmonico,amplitude,angulo
1187,10.891667,100,0
1188,10.9,100,0
1189,10.908333,100,0
1190,10.916667,100,0
1191,10.925,100,0
1192,10.933333,100,0
1193,10.941667,100,0
1194,10.95,100,0
1195,10.958333,100,0
1196,10.966667,100,0
1197,10.975,100,0
1198,10.983333,100,0
1199,10.991667,100,0
1200,11.0,100,0
1201,11.008333,100,0
1202,11.016667,100,0
1203,11.025,100,0
1204,11.033333,100,0
1205,11.041667,100,0
1206,11.05,100,0
1207,11.058333,100,0
1208,11.066667,100,0
1209,11.075,100,0
1210,11.083333,100,0
1211,11.091667,100,0
1212,11.1,100,0
1213,11.108333,100,0
1214,11.116667,100,0
1215,11.125,100,0
1216,11.133333,100,0
1217,11.141667,100,0
1218,11.15,100,0
1219,11.158333,100,0
1220,11.166667,100,0
1221,11.175,100,0
1222,11.183333,100,0
1223,11.191667,100,0
1224,11.2,100,0
1225,11.208333,100,0
1226,11.216667,100,0
1227,11.225,100,0
1228,11.233333,100,0
1229,11.241667,100,0
1230,11.25,100,0
1231,11.258333,100,0
1232,11.266667,100,0
1233,11.275,100,0
1234,11.283333,100,0
1235,11.291667,100,0
1236,11.3,100,0
1237,11.308333,100,0
1238,11.316667,100,0
1239,11.325,100,0
1240,11.333333,100,0
1241,11.341667,100,0
1242,11.35,100,0
1243,11.358333,100,0
1244,11.366667,100,0
1245,11.375,100,0
1246,11.383333,100,0
1247,11.391667,100,0
1248,11.4,100,0
1249,11.408333,100,0
1250,11.416667,100,0
1251,11.425,100,0
1252,11.433333,100,0
1253,11.441667,100,0
1254,11.45,100,0
1255,11.458333,100,0
1256,11.466667,100,0
1257,11.475,100,0
1258,11.483333,100,0
1259,11.491667,100,0
1260,11.5,100,0
1261,11.508333,100,0
1262,11.516667,100,0
1263,11.525,100,0
1264,11.533333,100,0
1265,11.541667,100,0
1266,11.55,100,0
1267,11.558333,100,0
1268,11.566667,100,0
1269,11.575,100,0
1270,11.583333,100,0
1271,11.591667,100,0
1272,11.6,100,0
1273,11.608333,100,0
1274,11.616667,100,0
1275,11.625,100,0
1276,11.633333,100,0
1277,11.641667,100,0
1278,11.65,100,0
